keyword,count,keyword tag
date of birth,1815,DOB
role,1684,Remove
client,1625,Remove
duration,1370,Remove
marital status,1100,Remove
languages known,1021,Remove
mobile,1003,Mobile
environment,962,Skills
nationality,950,Remove
place,860,Remove
team size,819,Remove
languages,793,Skills
project,779,Remove
description,765,Remove
email,743,Email
s name,743,Remove
database,712,Skills
tools,694,Skills
name,678,Name
operating systems,627,Skills
address,573,Remove
e-mail,553,Email
designation,546,Remove
date,530,Remove
operating system,483,Skills
gender,482,Gender
technologies,471,Skills
databases,441,Skills
permanent address,439,Remove
project name,429,Remove
title,418,Remove
organization,369,Remove
phone,365,Remove
sex,362,Gender
company,344,Remove
hobbies,321,Remove
technology,310,Skills
programming languages,295,Skills
project title,259,Remove
responsibilities,250,Remove
web technologies,242,Skills
period,238,Remove
contact,232,Mobile
domain,202,Remove
location,201,Remove
platform,196,Skills
language known,195,Remove
language,191,Skills
rdbms,179,Skills
ide,174,Skills
dob,171,DOB
contact no,171,Mobile
passport no,169,Remove
frameworks,164,Skills
http,157,Remove
project description,154,Remove
mobile no,153,Mobile
framework,143,Skills
email id,141,Email
mob,136,Mobile
tools used,133,Skills
position,132,Remove
passport,129,Remove
https,124,Remove
scripting languages,106,Skills
technologies used,106,Skills
present address,106,Remove
passport number,106,Remove
software,102,Skills
contact no.,100,Mobile
platforms,98,Skills
employer,98,Remove
servers,97,Skills
os,97,Skills
current location,97,Location
others,95,Remove
company name,92,Remove
version control,88,Skills
web server,88,Skills
programming language,87,Skills
current address,86,Remove
server,85,Skills
utilities,85,Remove
father name,83,Remove
objective,81,Remove
responsibility,80,Remove
cell,80,Mobile
development tools,79,Skills
url,79,Remove
clients,78,Remove
web servers,78,Skills
application server,78,Skills
location preference,76,Remove
project details,74,Remove
technology used,74,Skills
application servers,73,Skills
scripting,73,Skills
total experience,72,Remove
declaration,71,Remove
experience,71,Remove
skills,70,Skills
other tools,68,Skills
client name,65,Remove
projects,62,Remove
passport no.,61,Remove
contact number,60,Mobile
scripting language,58,Skills
applications,57,Remove
product,56,Remove
technical skills,55,Skills
hardware,55,Skills
religion,54,Remove
reporting tools,53,Skills
s,53,Remove
build tools,53,Skills
current employer,52,Remove
phone no,52,Mobile
ph,52,Remove
cms,51,Remove
testing tools,51,Skills
team,50,Remove
references,50,Remove
web services,49,Skills
protocols,48,Skills
work experience,47,Remove
skype id,47,Remove
full name,47,Name
project duration,46,Remove
virtualization,45,Remove
e-mail id,45,Email
interests,44,Remove
mobile no.,44,Mobile
fathers name,44,Remove
modules,43,Skills
linkedin,41,Remove
notice period,41,Remove
passport details,40,Remove
customer,40,Remove
roles and responsibilities,40,Remove
d.o.b,40,DOB
skype,39,Remove
tool,39,Remove
percentage,38,Remove
ee technologies,38,Remove
monitoring tools,38,Skills
type,38,Remove
project type,38,Remove
front end,38,Remove
pin,37,Remove
scope,37,Remove
ides,37,Skills
personal details,37,Remove
networking,36,Skills
strengths,36,Remove
summary,36,Remove
methodologies,34,Skills
education,34,Remove
age,34,Remove
programming,34,Skills
university,34,Remove
job title,34,Remove
job profile,34,Remove
other,34,Remove
packages,34,Remove
methodology,33,Remove
profile,32,Remove
previous employer,32,Remove
back end,32,Remove
website,32,Remove
skills used,32,Skills
mailing address,32,Remove
application,31,Remove
status,31,Remove
reporting,31,Remove
dist,31,Remove
preferred location,31,Remove
version control tools,31,Skills
web technology,30,Skills
architecture,30,Skills
database tools,30,Skills
career objective,30,Remove
mail,30,Skills
contact address,29,Remove
professional experience,29,Remove
dbms,29,Skills
from,29,Remove
industry,29,Remove
certifications,29,Remove
industry preference,28,Remove
roles,28,Remove
erp,28,Skills
key skills,28,Skills
linguistic abilities,28,Remove
bi tools,27,Skills
etl tools,27,Skills
skill used,27,Skills
module,27,Skills
strength,25,Remove
project management,25,Remove
visa,25,Remove
linguistic proficiency,25,Remove
personal information,24,Remove
achievements,24,Remove
company profile,24,Remove
pan card no,24,Remove
language proficiency,24,Remove
web,24,Skills
ticketing tools,24,Skills
current company,23,Remove
my role,23,Remove
mobile number,23,Mobile
source control,23,Skills
ide tools,23,Skills
build tool,23,Skills
reports,23,Remove
bug tracking tools,23,Skills
link,23,Remove
